ID,Link,Title,Subtitle,Extra
1205370,https://book.douban.com/subject/1205370/,羊脂球,,（法）莫泊桑|柳鸣九|北京燕山出版社|2007-6|13.50元
1449351,https://book.douban.com/subject/1449351/,呐喊,,鲁迅|人民文学出版社|1973年3月|0.36元
1012611,https://book.douban.com/subject/1012611/,乌合之众,大众心理研究,（法）勒庞|冯克利|中央编译出版社|2011-5-1|16.00元
2035179,https://book.douban.com/subject/2035179/,动物农场,,[英] 乔治·奥威尔|荣如德|上海译文出版社|2007-3|10.00元
3813669,https://book.douban.com/subject/3813669/,民主的细节,美国当代政治观察随笔,刘瑜|上海三联书店|2009-6|25.00
3071717,https://book.douban.com/subject/3071717/,爱你就像爱生命,,王小波|上海锦绣文章出版社|2008-5|18.00元
2340100,https://book.douban.com/subject/2340100/,遇见未知的自己,,张德芬|华夏出版社|2008-1|29.00
1046209,https://book.douban.com/subject/1046209/,安徒生童话故事集,,（丹麦）安徒生|叶君健|人民文学出版社|1997-08|25.00元
3369600,https://book.douban.com/subject/3369600/,当我谈跑步时我谈些什么,,[日] 村上春树|施小炜|南海出版公司|2009-1|25.00
1014278,https://book.douban.com/subject/1014278/,红玫瑰与白玫瑰,,张爱玲|花城出版社|1996-06|12.80元
1254588,https://book.douban.com/subject/1254588/,城南旧事,纪念普及版,林海音 文|中国青年出版社|2003-7|16.00元
26414020,https://book.douban.com/subject/26414020/,我不喜欢这世界，我只喜欢你,,乔一|湖南少年儿童出版社|2015-5-1|29.80元
26698660,https://book.douban.com/subject/26698660/,巨人的陨落,世纪三部曲,[英] 肯·福莱特|于大卫|江苏凤凰文艺出版社|2016-5-1|129.80元
1882933,https://book.douban.com/subject/1882933/,鬼吹灯之精绝古城,,天下霸唱|安徽文艺出版社|2006|25.00元
1088065,https://book.douban.com/subject/1088065/,阿Q正传,,鲁迅 著|上海书店出版社|2003-7|14.50元
1963684,https://book.douban.com/subject/1963684/,半生缘,,张爱玲|北京十月文艺出版社|2006-12|28.00元
5916880,https://book.douban.com/subject/5916880/,华胥引（全二册）,,唐七公子|现代出版社|2011-1|39.80元
4714734,https://book.douban.com/subject/4714734/,这些都是你给我的爱,,文：安东尼|长江文艺出版社|2010-3|24.80元
2070844,https://book.douban.com/subject/2070844/,梦里花落知多少,,三毛|北京十月文艺出版社|2007-6|28.00元
3014576,https://book.douban.com/subject/3014576/,陪安东尼度过漫长岁月,,安东尼|长江文艺出版社|2008-3|18.00
6388661,https://book.douban.com/subject/6388661/,这些人，那些事,,吴念真|译林出版社|2011-9|28.00元
2022979,https://book.douban.com/subject/2022979/,喜宝,,亦舒|新世界出版社|2007-2|22.00元
