MovieLink	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6
https://movie.douban.com/subject/25754848/	1	3	1	5	8	2
https://movie.douban.com/subject/26985127/	4	1	1	6	7	1
https://movie.douban.com/subject/30163509/	8	1	2	3	5	1
https://movie.douban.com/subject/25934014/	4	2	0	5	7	3
https://movie.douban.com/subject/25919910/	5	2	2	4	7	2
https://movie.douban.com/subject/1292656/	4	3	1	5	7	1
https://movie.douban.com/subject/21360417/	5	4	2	4	6	2
https://movie.douban.com/subject/3274505/	3	2	2	4	8	2
https://movie.douban.com/subject/10808442/	2	2	1	3	9	1
https://movie.douban.com/subject/1291875/	4	3	1	4	7	3
https://movie.douban.com/subject/2213597/	5	1	0	3	8	1
https://movie.douban.com/subject/3011051/	5	3	2	5	6	1
https://movie.douban.com/subject/3878007/	4	3	1	5	7	0
https://movie.douban.com/subject/5308265/	6	2	2	4	6	2
https://movie.douban.com/subject/1292262/	3	4	1	6	6	1
https://movie.douban.com/subject/1296339/	2	2	1	2	9	2
https://movie.douban.com/subject/1292401/	7	3	1	2	5	3
https://movie.douban.com/subject/26374197/	6	4	0	5	4	2
https://movie.douban.com/subject/2973079/	3	1	0	7	6	1
https://movie.douban.com/subject/6558062/	4	2	1	5	7	1
https://movie.douban.com/subject/7046723/	6	3	0	5	5	1
https://movie.douban.com/subject/11529526/	3	3	1	6	6	2
https://movie.douban.com/subject/1291822/	4	3	1	1	8	2
https://movie.douban.com/subject/1787291/	4	2	1	3	8	1
https://movie.douban.com/subject/25798448/	5	1	2	5	6	2
https://movie.douban.com/subject/10741643/	3	3	1	5	7	1
https://movie.douban.com/subject/25724855/	6	1	1	4	6	2
https://movie.douban.com/subject/25786060/	0	2	0	3	9	0
https://movie.douban.com/subject/6549903/	3	0	1	4	8	2
https://movie.douban.com/subject/1972729/	5	3	1	3	7	0
https://movie.douban.com/subject/3011235/	1	4	2	6	6	0
https://movie.douban.com/subject/3233635/	3	1	0	4	8	1
https://movie.douban.com/subject/3734112/	7	3	1	4	4	0
https://movie.douban.com/subject/5964718/	3	2	2	3	8	1
https://movie.douban.com/subject/2300586/	2	4	1	4	7	2
https://movie.douban.com/subject/1291990/	1	2	1	1	9	1
https://movie.douban.com/subject/1482072/	5	3	1	1	7	2
https://movie.douban.com/subject/26366496/	2	1	2	4	8	0
https://movie.douban.com/subject/1296141/	3	2	1	3	8	1
https://movie.douban.com/subject/1760622/	3	1	1	3	8	2
https://movie.douban.com/subject/3821067/	2	3	1	3	7	4
https://movie.douban.com/subject/5912992/	2	2	2	6	6	2
https://movie.douban.com/subject/6874741/	2	3	1	5	7	0
https://movie.douban.com/subject/25716096/	7	2	1	2	5	2
https://movie.douban.com/subject/3068206/	5	3	2	3	6	2
https://movie.douban.com/subject/10807909/	4	2	1	6	5	2
https://movie.douban.com/subject/1291583/	5	2	1	4	6	2
https://movie.douban.com/subject/1780330/	3	2	2	4	7	2
https://movie.douban.com/subject/3364223/	0	2	3	0	8	3
https://movie.douban.com/subject/10727641/	3	3	1	7	4	1
https://movie.douban.com/subject/1292226/	3	1	1	1	8	3
https://movie.douban.com/subject/1293172/	1	3	1	3	8	1
https://movie.douban.com/subject/25983044/	6	2	0	3	6	0
https://movie.douban.com/subject/1291545/	5	3	1	2	6	3
https://movie.douban.com/subject/26334244/	4	4	1	1	7	1
https://movie.douban.com/subject/1305487/	4	3	1	2	7	2
https://movie.douban.com/subject/1308807/	0	2	1	3	8	2
https://movie.douban.com/subject/23232876/	4	2	1	5	6	0
https://movie.douban.com/subject/25717233/	3	0	2	7	4	2
https://movie.douban.com/subject/5327268/	6	1	0	3	6	0
https://movie.douban.com/subject/10574622/	3	1	3	5	6	1
https://movie.douban.com/subject/1293350/	3	3	2	3	7	0
https://movie.douban.com/subject/2338055/	3	3	1	6	5	0
https://movie.douban.com/subject/24750126/	4	2	1	3	7	1
https://movie.douban.com/subject/4319218/	5	1	0	2	7	1
https://movie.douban.com/subject/6874403/	0	2	1	7	5	1
https://movie.douban.com/subject/1294371/	0	4	1	3	7	2
https://movie.douban.com/subject/1297447/	3	2	1	5	6	2
https://movie.douban.com/subject/1966182/	5	2	0	5	5	0
https://movie.douban.com/subject/24751763/	5	3	1	2	6	2
https://movie.douban.com/subject/25814705/	3	3	2	2	7	2
https://movie.douban.com/subject/4202982/	2	3	2	5	6	1
https://movie.douban.com/subject/6080775/	3	1	1	2	8	0
https://movie.douban.com/subject/7065154/	2	3	0	7	4	1
https://movie.douban.com/subject/1295399/	3	3	1	3	7	1
https://movie.douban.com/subject/1300117/	5	3	0	2	6	2
https://movie.douban.com/subject/1306249/	4	2	2	3	6	3
https://movie.douban.com/subject/24743711/	1	1	1	5	7	1
https://movie.douban.com/subject/25807345/	3	2	2	4	6	3
